race_id,split,year,event,session,expected_driver_count,fastf1_participant_count,car_rows,position_rows,driver_hours_car,driver_hours_position,drivers_with_telemetry_coverage_pass,telemetry_coverage_status,source_retrieval_status,error,fastf1_missing_expected_drivers
2022:Bahrain Grand Prix:Race,development_test,2022,Bahrain Grand Prix,Race,20,0,0,0,0,0,0,INCOMPLETE_OR_UNVERIFIED,FAILED,RateLimitExceededError: any API: 500 calls/h,
2022:Australian Grand Prix:Race,development_test,2022,Australian Grand Prix,Race,20,0,0,0,0,0,0,INCOMPLETE_OR_UNVERIFIED,FAILED,RateLimitExceededError: any API: 500 calls/h,
2022:Emilia Romagna Grand Prix:Race,development_test,2022,Emilia Romagna Grand Prix,Race,20,0,0,0,0,0,0,INCOMPLETE_OR_UNVERIFIED,FAILED,RateLimitExceededError: any API: 500 calls/h,
2022:Azerbaijan Grand Prix:Race,development_test,2022,Azerbaijan Grand Prix,Race,20,0,0,0,0,0,0,INCOMPLETE_OR_UNVERIFIED,FAILED,RateLimitExceededError: any API: 500 calls/h,
2022:Canadian Grand Prix:Race,development_test,2022,Canadian Grand Prix,Race,20,0,0,0,0,0,0,INCOMPLETE_OR_UNVERIFIED,FAILED,RateLimitExceededError: any API: 500 calls/h,
2022:British Grand Prix:Race,development_test,2022,British Grand Prix,Race,20,0,0,0,0,0,0,INCOMPLETE_OR_UNVERIFIED,FAILED,RateLimitExceededError: any API: 500 calls/h,
2022:Austrian Grand Prix:Race,development_test,2022,Austrian Grand Prix,Race,20,0,0,0,0,0,0,INCOMPLETE_OR_UNVERIFIED,FAILED,RateLimitExceededError: any API: 500 calls/h,
2022:French Grand Prix:Race,development_test,2022,French Grand Prix,Race,20,0,0,0,0,0,0,INCOMPLETE_OR_UNVERIFIED,FAILED,RateLimitExceededError: any API: 500 calls/h,
2022:Hungarian Grand Prix:Race,development_test,2022,Hungarian Grand Prix,Race,20,0,0,0,0,0,0,INCOMPLETE_OR_UNVERIFIED,FAILED,RateLimitExceededError: any API: 500 calls/h,
2022:Belgian Grand Prix:Race,development_test,2022,Belgian Grand Prix,Race,20,0,0,0,0,0,0,INCOMPLETE_OR_UNVERIFIED,FAILED,RateLimitExceededError: any API: 500 calls/h,
2022:Dutch Grand Prix:Race,development_test,2022,Dutch Grand Prix,Race,20,0,0,0,0,0,0,INCOMPLETE_OR_UNVERIFIED,FAILED,RateLimitExceededError: any API: 500 calls/h,
2022:Italian Grand Prix:Race,development_test,2022,Italian Grand Prix,Race,20,0,0,0,0,0,0,INCOMPLETE_OR_UNVERIFIED,FAILED,RateLimitExceededError: any API: 500 calls/h,
2022:Japanese Grand Prix:Race,development_test,2022,Japanese Grand Prix,Race,20,0,0,0,0,0,0,INCOMPLETE_OR_UNVERIFIED,FAILED,RateLimitExceededError: any API: 500 calls/h,
2022:Abu Dhabi Grand Prix:Race,development_test,2022,Abu Dhabi Grand Prix,Race,20,0,0,0,0,0,0,INCOMPLETE_OR_UNVERIFIED,FAILED,RateLimitExceededError: any API: 500 calls/h,
